Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Næstved;21;Fastholdt;1;Serviceøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Frederiksberg;20;Fastholdt;1;Event Management og Økonomi;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;Køge;22;Fastholdt;1;Leisure Management;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Køge;25;Fastholdt;1;Jordbrugsteknolog;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2021;København;21;Gennemført uddannelse;1;Leisure Management;Merkantil;2021 S
Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;Køge;24;Fastholdt;1;Serviceøkonom;Merkantil;2023 V
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Køge;22;Fastholdt;1;Multimediedesigner;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Køge;03-02-2025;Greve;20;Fastholdt;1;Multimediedesigner;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Vordingborg;20;Gennemført uddannelse;1;Finansøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2021;København;26;Gennemført uddannelse;1;Multimediedesigner;IT & Ledelse;2021 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2024;Lolland;24;Frafald;0;International handel og markedsføring;Merkantil;2023 V
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-02-2024;Slagelse;25;Fastholdt;1;Bygningskonstruktør;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Slagelse;01-02-2025;;19;Fastholdt;1;Jordbrug;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Slagelse;01-02-2025;;22;Fastholdt;1;Jordbrug;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Næstved;27;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2021;Køge;21;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2021 S
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);02-09-2024;København;34;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2021;Høje Taastrup;30;Gennemført uddannelse;1;International handel og markedsføring;Merkantil;2021 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2023;København;27;Gennemført uddannelse;1;Multimediedesigner;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Næstved;23;Fastholdt;1;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Slagelse;01-09-2023;Slagelse;23;Gennemført uddannelse;1;Produktionsteknolog;Teknisk;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Næstved;19;Fastholdt;1;Bygningskonstruktør;Teknisk;2022 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2023;Køge;20;Gennemført uddannelse;1;IT-teknolog;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;03-02-2025;København;20;Frafald;0;Bygningskonstruktør;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;København;20;Ikke startet;0;Markedsføringsøkonom;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2023;København;20;Fastholdt;1;Bygningskonstruktør;Teknisk;2022 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Hvidovre;24;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2022 V
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Fredensborg;40;Ikke startet;0;Datamatiker;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2024;Ringsted;30;Gennemført uddannelse;1;It-sikkerhed;IT & Ledelse;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Greve;21;Ikke startet;0;Datamatiker;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Køge;25;Frafald;0;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Slagelse;03-09-2024;Odense;30;Ikke startet;0;Engelsk og digital markedskommunikation;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Stevns;29;Ikke startet;0;Serviceøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Egedal;18;Fastholdt;1;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Holbæk;01-09-2023;Holbæk;22;Frafald;0;Finansøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Næstved;21;Fastholdt;1;Datamatiker;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2024;Greve;30;Fastholdt;1;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2024;Slagelse;27;Fastholdt;1;It-sikkerhed;IT & Ledelse;2023 V
